mel_index,left_bin,center_bin,right_bin
0,0,1,2
1,1,2,3
2,2,3,4
3,3,4,6
4,4,6,8
5,6,8,9
6,8,9,11
7,9,11,14
8,11,14,16
9,14,16,19
10,16,19,22
11,19,22,25
12,22,25,28
13,25,28,32
14,28,32,36
15,32,36,41
16,36,41,46
17,41,46,51
18,46,51,57
19,51,57,64
